idade,renda_mensal,dependentes,estado_civil,valor_investir_mensal,experiencia_anos,dividas_percentual,patrimonio_atual,tolerancia_perda_1,tolerancia_perda_2,horizonte_investimento,conhecimento_mercado,estabilidade_emprego,tem_reserva_emergencia,planos_grandes_gastos,perfil_risco,publico_alvo,fonte_dados
55,17073.0,0,0,2134.14,8,30.51,568820.0,5.0,5.4,10,2,10,1.0,1,conservador,0.0,scf
30,23685.24,3,2,4144.92,4,100.0,-186210.0,5.0,4.8,35,6,9,0.0,1,moderado,0.0,scf
70,13504.26,0,1,2700.84,40,32.92,839290.0,2.5,2.5,5,10,5,1.0,0,conservador,0.0,scf
53,8066.01,2,1,1008.24,7,28.24,63265.0,5.0,5.3,12,2,10,0.0,1,conservador,0.0,scf
33,26060.76,0,1,4560.63,6,28.76,1081480.0,7.5,7.5,32,8,9,1.0,0,agressivo,0.0,scf
34,3941.01,3,2,591.15,4,30.0,415735.0,5.0,5.4,31,4,6,1.0,1,moderado,0.0,scf
20,3351.75,5,1,670.35,0,27.32,265025.0,5.0,4.5,40,8,2,1.0,1,moderado,1.0,scf
64,8528.25,2,0,1279.23,20,30.67,559395.0,7.5,7.3,5,4,10,1.0,1,moderado,0.0,scf
41,12978.0,0,0,2271.15,12,100.0,-106395.0,10.0,10.0,24,6,8,0.0,1,agressivo,0.0,scf
32,4907.76,1,1,858.87,5,19.6,2353420.0,7.5,7.5,33,8,9,1.0,1,agressivo,0.0,scf
57,6439.5,0,0,1126.92,24,32.4,86990.0,7.5,7.1,8,6,10,0.0,1,conservador,0.0,scf
48,15264.99,1,2,2671.38,17,27.74,12778160.0,7.5,7.8,17,8,10,1.0,1,agressivo,0.0,scf
34,32974.26,0,0,4946.13,4,16.86,94390.0,7.5,7.9,31,4,9,0.0,1,agressivo,0.0,scf
72,43838.01,1,2,6575.7,24,28.03,2511515.0,5.0,4.8,5,4,6,1.0,1,moderado,0.0,scf
65,21445.5,0,1,3216.84,20,22.76,278890.0,2.5,2.8,5,4,5,0.0,1,conservador,0.0,scf
22,6219.0,0,0,1260.11,2,25.0,41370.01,4.0,2.0,2,6,10,,0,moderado,,sintetico
76,12013.5,2,0,2402.7,40,32.09,475430.0,7.5,7.3,5,8,5,0.0,1,moderado,0.0,scf
76,8996.76,0,1,1799.34,40,17.13,432180.0,7.5,7.6,5,8,3,1.0,0,moderado,0.0,scf
73,30974.01,2,0,4646.1,24,22.89,1083955.0,7.5,8.0,5,4,6,0.0,1,moderado,0.0,scf
33,23019.51,0,1,3452.94,4,29.18,75840.0,7.5,7.2,32,4,9,0.0,1,agressivo,0.0,scf
23,7404.0,0,1,1341.98,3,43.6,35417.91,8.0,8.0,2,9,5,,0,agressivo,,sintetico
36,7184.01,1,1,1077.6,6,100.0,-14320.0,5.0,4.7,29,4,3,0.0,1,conservador,0.0,scf
67,21525.24,1,1,4305.06,40,28.37,410450.0,5.0,4.9,5,8,5,0.0,1,moderado,0.0,scf
26,13248.75,0,1,2649.75,1,20.05,1114140.0,7.5,7.9,39,10,7,1.0,0,agressivo,0.0,scf
40,3405.99,1,1,681.21,15,100.0,-152245.0,5.0,4.6,25,8,9,0.0,1,conservador,0.0,scf
70,19837.5,1,1,2479.68,11,24.68,52125.0,2.5,2.9,5,2,6,0.0,1,conservador,0.0,scf
