idade,renda,patrimonio,experiencia,perfil_risco,horizonte,tem_emergencia,conhecimento,alloc_renda_fixa,alloc_acoes_brasil,alloc_acoes_internacional,alloc_fundos_imobiliarios,alloc_commodities,alloc_criptomoedas
56,40030.60635615141,183434.7898661638,7,0.2993292420985183,17,0,0.6118528947223795,0.7523891172994095,0.07333894345683911,0.0010110768455295711,0.15450782552168132,0.00882608559622896,0.009926951280311626
59,3286.6174974671558,973755.5188414592,14,0.32803499210851794,29,1,0.034388521115218396,0.44279770227561843,0.18632450384530672,0.15166393789490595,0.1499656686814682,0.04105040094572503,0.02819778635697562
31,20161.9697710888,182236.08778806232,3,0.45585553804470547,26,0,0.28093450968738076,0.37855337369629555,0.22504418642214932,0.10015008843828067,0.16743264928454799,0.0905123712038332,0.0383073309548933
62,7905.28702376337,802196.9807540397,0,0.10781820337059697,9,1,0.4494506741382034,0.7747491763456524,0.10663957923247962,0.03957958042004204,0.05917399788976702,0.017525364913040464,0.002332301199018318
50,4114.359164015158,310982.3217156622,23,0.33296117830874833,7,0,0.3143559810763267,0.3993004728641347,0.1949107866054597,0.14632723431568145,0.13857755676681666,0.08226249603320625,0.03862145341470116
49,35080.288234880245,139331.4544058757,6,0.5051914615178148,28,0,0.3180034749718639,0.44990977517459396,0.19301511720481962,0.10873537772298547,0.13028107066067318,0.07050377125737839,0.047554887979549376
50,14334.48021984713,647690.1205413623,24,0.5090073829612466,17,1,0.9624472949421112,0.4899820876662751,0.15360578468903877,0.15748939185275646,0.12528153334187117,0.053289696234903185,0.020351506215155236
56,25365.176788726887,300878.3098167697,16,0.49887024252447093,24,0,0.24215993827742588,0.3529902801167686,0.3128048512708932,0.158944474248443,0.0831601708945777,0.059056025917811346,0.033044197551506296
55,19021.37350324341,632305.8305935794,5,0.2994122212222765,7,1,0.940523264489604,0.7215485142182942,0.13194759194018735,0.021455755908903796,0.08641056238358251,0.027755866364335458,0.010881709184696792
57,19950.031968726333,936729.9887367345,0,0.4378450585196404,9,0,0.7003578299727713,0.43313760438082977,0.17940772390730717,0.14992759826810775,0.16922146220451917,0.0580439528866379,0.010261658352598426
33,44958.402737676275,887086.4242651173,23,0.8438850493804798,16,1,0.3664687845828599,0.22157215309039272,0.3236245722935906,0.19934197582553315,0.0918502776832841,0.09277210910090501,0.0708389120062942
25,42611.947114214716,657612.8923003434,0,0.8712701152774497,28,0,0.4991933798847523,0.1801564507404041,0.31937930906315865,0.18152481655320754,0.0848820320641214,0.14140534371313107,0.09265204786597707
21,2191.4823551412383,645472.2959071678,16,1.0,18,0,0.3946914668094722,0.19364495672844026,0.27503705787463956,0.2417728202221151,0.10500377422842039,0.12810984589133098,0.05643154505505383
71,35105.46003707367,570061.170089365,23,0.2044593588076801,28,1,0.005184862773986776,0.7805129044467448,0.10845020144390118,0.020229190500993127,0.0672282376487713,0.02357946595958971,0.0
53,40116.463769371985,649963.9307777651,13,0.4978963347180505,28,0,0.5222432600548044,0.4974367809119561,0.18050764341571596,0.14335271109251857,0.0924512585015101,0.07359382016784902,0.012657785910450393
70,14305.602875167353,965251.8303907698,6,0.142673732496884,23,1,0.02535074341545751,0.6624451943755033,0.11631712544819153,0.06910105121734167,0.11716730668714016,0.034969322271823214,0.0
70,4962.775364242686,428314.4749401078,11,0.20447647220713494,16,0,0.7578461104643691,0.7110822757193196,0.08389732775665086,0.04947927479323212,0.12980794278043645,0.025733178950361084,0.0
74,17752.10366910368,91799.06581344188,14,0.020364401159485068,2,1,0.3746126146264712,0.7544274922030275,0.11875274058992426,0.02688248792170781,0.046269928688615285,0.04018819440323658,0.013479156193488526
36,25653.6766704243,856489.8411883223,4,0.7419818846990706,1,0,0.651484771857788,0.17379540143431882,0.3096994413812445,0.21989144503776265,0.09945998587117118,0.08912109742415414,0.10803262885134872
60,10593.765604675526,69361.30087516546,13,0.009110912825774864,21,0,0.2820345725713065,0.6900583927903032,0.1295940876757923,0.017307116526562482,0.10630900474359695,0.05105284785708168,0.005678550406663393
27,21750.07617309781,568520.2837499584,2,1.0,16,0,0.32004960103061175,0.1754672422173248,0.2641384848489515,0.2299129877151578,0.07637778478864161,0.12571933007026792,0.12838417035965632
36,20070.882257973994,10837.65148029836,8,0.7235715720477949,15,1,0.6880300101750391,0.16081706257888254,0.3574890827218206,0.2192643481286566,0.09393765820511918,0.11028854400942115,0.05820330435610001
61,43476.56656023123,838480.763763985,13,0.45048456572955997,27,1,0.906354385094736,0.3160703009181063,0.2730731815051465,0.17213163547099167,0.1115583518754467,0.06022425256818159,0.06694227766212739
56,22288.140379925295,253682.17387313873,17,0.23433032099706314,6,1,0.012154474689816341,0.7467123670370897,0.07599052713946222,0.0,0.13087151040114642,0.04177667779554635,0.004648917626755411
49,28244.24689348664,322686.3882775837,15,0.5638505545431499,28,0,0.2773811829811327,0.4187742376680976,0.15427106915114588,0.1431872067008967,0.18426929907853531,0.06353650777704226,0.03596167962428212
45,32695.569721767468,388268.3839898722,27,0.5918280559254361,18,0,0.04521867010618941,0.2875059016130845,0.2740037119600598,0.1846353050400778,0.1659322059610956,0.07535850414900022,0.012564371276682277
72,21151.500712683082,777602.2837352256,17,0.5936380646574723,5,1,0.9131657522576428,0.3023194343547116,0.22802517955568072,0.1359262115691833,0.19493108203029647,0.09408283036388887,0.04471526212623906
40,38680.38334384502,944765.7298824281,9,0.5889252746378932,23,0,0.7846682639443096,0.3633711444376208,0.20421306133028155,0.1380149764605858,0.15498821801626916,0.06339050170742881,0.07602209804781404
31,35499.908636861954,212964.16150891074,5,0.608631856048646,29,1,0.45934680794617244,0.22745707300365028,0.30413421384596473,0.20245776084966877,0.09332039838589672,0.0679821964637305,0.10464835745108914
